"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","523","test_search_by_title","test","Thu Jan 16 20:37:34 MSK 2025","passed","Thu Jan 16 20:37:35 MSK 2025","","test_api","",""
"","569","Поиск книги по автору на латинице: Agatha Christie","test","Sat Jan 18 13:07:54 MSK 2025","passed","Sat Jan 18 13:07:54 MSK 2025","","test_api","",""
"","28","Поиск с пустым запросом","test","Sat Jan 18 13:07:54 MSK 2025","passed","Sat Jan 18 13:07:54 MSK 2025","","test_api","",""
"","443","Поиск книги по автору на кириллице: Тютчев","test","Sat Jan 18 13:07:51 MSK 2025","passed","Sat Jan 18 13:07:51 MSK 2025","","test_api","",""
"","448","Поиск книги по автору на кириллице: Гоголь","test","Sat Jan 18 13:07:49 MSK 2025","passed","Sat Jan 18 13:07:50 MSK 2025","","test_api","",""
"","363","Поиск книги по автору на кириллице: Пушкин","test","Sat Jan 18 13:07:50 MSK 2025","passed","Sat Jan 18 13:07:50 MSK 2025","","test_api","",""
"","267","Поиск книги по автору на латинице: Kant","test","Sat Jan 18 13:07:53 MSK 2025","passed","Sat Jan 18 13:07:53 MSK 2025","","test_api","",""
"","435","Поиск книги по автору на кириллице: Лермонтов","test","Sat Jan 18 13:07:50 MSK 2025","passed","Sat Jan 18 13:07:51 MSK 2025","","test_api","",""
"","514","Поиск книги по автору на кириллице: Мамин-Сибиряк","test","Sat Jan 18 13:07:51 MSK 2025","passed","Sat Jan 18 13:07:52 MSK 2025","","test_api","",""
"","452","Поиск книги по названию на кириллице: The ABC Murders","test","Sat Jan 18 13:07:52 MSK 2025","passed","Sat Jan 18 13:07:52 MSK 2025","","test_api","",""
"","329","test_search_by_author","test","Thu Jan 16 20:37:35 MSK 2025","passed","Thu Jan 16 20:37:35 MSK 2025","","test_api","",""
"","502","Поиск книги по названию на кириллице: Python","test","Sat Jan 18 13:07:53 MSK 2025","passed","Sat Jan 18 13:07:53 MSK 2025","","test_api","",""
"","370","Поиск книги по автору на латинице: Orwell G.","test","Sat Jan 18 13:07:53 MSK 2025","passed","Sat Jan 18 13:07:54 MSK 2025","","test_api","",""
"","549","Поиск книги по названию на кириллице: Nineteen Eighty-Four","test","Sat Jan 18 13:07:52 MSK 2025","passed","Sat Jan 18 13:07:53 MSK 2025","","test_api","",""
